,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
469,1631245,Quenton Jackson,Quenton,1610612754,IND,25.0,3,3,0,1.0,10.533333333333333,0.0,0.0,0.0,0.0,18.2,0.0,22.8,45.6,0.0,0.0,4.6,4.6,58.3,549,489,1,1,556,518,517,518,551,404,1,560,468,520,1,394,114,52
470,1630181,R.J. Hampton,R.J.,1610612748,MIA,23.0,8,3,5,0.375,76.02166666666666,0.6,0.0,2.5,3.8,21.5,12.6,18.3,49.2,0.0,0.6,5.1,0.6,16.5,510,489,64,407,492,510,517,265,488,527,148,523,297,520,171,444,533,562
471,1629628,RJ Barrett,RJ,1610612761,TOR,23.0,58,26,32,0.448,1838.1333333333334,4.5,2.6,6.1,17.4,16.2,14.9,16.1,53.2,0.6,2.4,3.4,5.4,48.8,232,241,425,357,133,69,240,13,41,255,409,443,135,360,551,192,73,153
472,1630564,RaiQuan Gray,RaiQuan,1610612759,SAS,24.0,3,2,1,0.667,39.03333333333333,0.0,12.3,0.0,17.2,7.4,13.5,11.1,39.4,1.2,1.2,0.0,0.0,55.8,549,511,14,76,531,518,2,518,43,13,249,55,544,165,401,1,547,69
473,1641712,Rayan Rupert,Rayan,1610612757,POR,19.0,39,7,32,0.179,633.225,1.4,0.9,2.1,3.8,18.8,13.0,16.0,48.2,0.2,1.6,4.2,1.6,28.2,355,440,425,527,328,484,496,329,487,443,186,436,347,490,488,360,461,527
474,203493,Reggie Bullock Jr.,Reggie,1610612745,HOU,33.0,44,24,20,0.545,417.47333333333336,0.6,1.4,1.0,1.1,16.1,13.6,15.4,52.0,0.6,0.2,3.3,0.3,28.4,326,257,237,270,378,512,457,458,546,234,256,388,180,359,61,184,545,526
475,202704,Reggie Jackson,Reggie,1610612743,DEN,34.0,82,57,25,0.695,1816.82,2.9,1.2,1.6,9.4,16.8,13.6,12.5,48.2,0.3,0.9,3.9,2.6,40.8,2,4,311,60,140,263,472,392,230,304,266,109,346,467,266,303,330,306
476,1626158,Richaun Holmes,Richaun,1610612764,WAS,30.0,40,13,27,0.325,554.11,1.8,5.4,1.8,13.9,18.0,13.4,15.9,53.0,1.6,1.6,6.4,3.0,45.1,349,377,344,443,349,450,40,368,93,393,230,429,143,103,480,525,259,211
477,1641741,Ricky Council IV,Ricky,1610612755,PHI,22.0,32,15,17,0.469,288.64,5.8,4.3,6.5,13.3,14.0,12.6,14.8,51.6,0.2,1.0,2.8,7.3,45.6,385,347,199,344,417,15,81,10,111,78,149,342,193,504,312,111,19,200
478,203496,Robert Covington,Robert,1610612755,PHI,33.0,29,20,9,0.69,488.415,3.0,2.3,1.5,4.5,17.5,14.3,15.9,45.6,1.8,0.7,5.5,1.9,43.2,397,297,118,66,362,243,294,415,458,357,354,426,467,89,195,489,426,254
479,1629057,Robert Williams III,Robert,1610612757,POR,26.0,6,2,4,0.333,118.75,0.0,7.3,0.0,10.5,18.2,10.5,19.8,50.1,2.8,1.6,6.9,3.2,52.2,525,511,45,432,469,518,11,518,192,403,46,546,261,35,495,540,241,115
480,201577,Robin Lopez,Robin,1610612749,MIL,36.0,16,10,6,0.625,64.73,0.0,0.0,0.0,7.4,18.5,23.0,15.6,43.0,2.2,0.7,5.2,3.0,29.7,461,403,80,128,503,518,517,518,319,429,558,399,519,57,215,456,272,514
481,1631199,Ron Harper Jr.,Ron,1610612761,TOR,24.0,1,1,0,1.0,3.65,0.0,0.0,0.0,0.0,65.8,65.8,13.2,131.5,0.0,0.0,26.3,0.0,19.7,565,538,1,1,565,518,517,518,551,572,571,167,1,520,1,572,547,558
482,1626220,Royce O'Neale,Royce,1610612756,PHX,30.0,79,38,41,0.481,1954.2416666666666,2.8,1.8,1.6,2.7,17.5,12.6,14.7,46.0,1.1,0.4,4.3,1.2,39.9,30,124,507,334,112,295,384,401,520,359,147,329,445,202,94,364,501,317
483,203497,Rudy Gobert,Rudy,1610612750,MIN,31.0,76,53,23,0.697,2593.1133333333332,2.9,6.0,0.9,14.9,17.0,12.3,13.1,43.5,3.0,1.0,4.4,7.2,54.0,61,22,272,55,22,267,22,464,71,317,120,163,512,30,321,376,22,95
484,1629060,Rui Hachimura,Rui,1610612747,LAL,26.0,68,40,28,0.588,1825.4933333333333,3.5,2.0,3.8,12.0,15.7,14.5,14.6,51.7,0.7,1.1,2.7,2.4,40.7,148,110,361,191,137,171,344,124,141,198,384,324,189,341,369,93,354,307
485,201566,Russell Westbrook,Russell,1610612746,LAC,35.0,68,45,23,0.662,1528.8166666666666,3.5,3.2,4.2,14.8,15.9,15.2,17.1,51.9,0.7,1.4,3.8,3.8,55.6,148,66,272,88,183,172,172,88,74,210,437,485,183,318,439,283,174,74
486,1627853,Ryan Arcidiacono,Ryan,1610612752,NYK,30.0,20,15,5,0.75,45.155,0.0,0.0,0.0,0.0,17.0,13.8,4.3,46.8,0.0,0.0,5.3,2.1,20.8,439,347,64,34,524,518,517,518,551,321,301,15,421,520,1,465,389,555
487,1631157,Ryan Rollins,Ryan,1610612749,MIL,21.0,13,1,12,0.077,77.85,10.5,4.3,5.5,12.3,12.3,11.1,11.1,33.3,1.8,1.2,4.9,8.6,68.8,480,538,138,556,491,1,83,19,133,27,55,57,561,81,403,432,8,11
488,1630240,Saben Lee,Saben,1610612756,PHX,24.0,24,15,9,0.625,184.97166666666666,3.1,1.3,4.7,9.3,21.0,13.5,14.0,45.2,0.8,1.8,3.4,7.0,45.5,416,347,118,128,443,237,465,53,234,521,241,258,482,288,525,194,24,203
489,1630180,Saddiq Bey,Saddiq,1610612737,ATL,25.0,63,28,35,0.444,2061.6583333333333,3.4,4.5,3.0,7.8,16.3,14.3,15.9,55.9,0.3,1.1,2.0,3.2,37.9,191,221,461,359,92,194,76,207,302,260,357,432,69,480,372,43,240,362
490,1630573,Sam Hauser,Sam,1610612738,BOS,26.0,79,62,17,0.785,1740.585,2.6,2.6,2.8,2.3,13.4,13.2,11.0,47.3,0.7,0.3,2.7,0.6,36.7,30,2,199,21,152,325,243,226,530,46,206,53,395,330,72,103,536,392
491,1630241,Sam Merrill,Sam,1610612739,CLE,27.0,61,36,25,0.59,1068.9183333333333,3.6,2.4,2.5,1.3,17.1,11.4,14.5,46.6,0.2,0.6,3.2,2.2,37.8,206,146,311,187,248,160,271,268,542,327,69,313,424,499,147,170,373,367
492,1630572,Sandro Mamukelashvili,Sandro,1610612759,SAS,24.0,46,12,34,0.261,450.9583333333333,2.4,3.2,3.0,10.6,17.3,14.4,11.6,48.1,1.3,1.2,3.7,2.8,50.9,315,384,446,470,371,359,167,206,190,348,369,69,353,151,377,271,305,134
493,1630583,Santi Aldama,Santi,1610612763,MEM,23.0,61,23,38,0.377,1618.0566666666666,2.2,2.3,2.1,7.9,18.2,14.2,14.9,47.3,1.6,0.8,2.6,2.6,44.7,206,270,488,406,172,405,279,334,300,402,344,354,392,109,224,90,321,221
494,1628426,Sasha Vezenkov,Sasha,1610612758,SAC,28.0,42,22,20,0.524,511.0733333333333,2.3,3.2,1.6,7.1,18.7,12.0,14.2,48.5,0.7,0.8,3.9,1.6,41.1,341,276,237,293,357,397,166,400,333,440,100,279,332,340,256,306,459,302
495,1630703,Scoot Henderson,Scoot,1610612757,POR,20.0,62,18,44,0.29,1765.3933333333334,3.1,1.9,2.8,9.3,19.5,14.6,17.6,54.3,0.4,1.4,5.3,5.7,42.8,200,316,528,458,148,240,359,223,236,477,388,505,104,456,442,462,65,265
496,1630567,Scottie Barnes,Scottie,1610612761,TOR,22.0,60,22,38,0.367,2094.2483333333334,3.6,3.9,4.2,13.9,15.6,14.8,12.3,53.3,2.0,1.1,2.7,4.9,60.8,215,276,488,414,85,158,110,86,90,187,401,105,129,71,356,100,94,30
497,1630590,Scotty Pippen Jr.,Scotty,1610612763,MEM,23.0,21,5,16,0.238,526.8283333333334,3.7,2.6,5.5,11.8,19.3,12.3,19.3,45.9,0.9,1.1,5.5,5.9,52.9,435,466,184,496,356,143,234,21,151,469,123,540,453,249,353,485,53,107
